rep,n,seed,estimator,model,theta,objective,software_success,numerical_accept,active_bounds,geometry,inference_eligible,se,cover,holdout_rmse,baseline_rmse,post_policy_rmse,stress_rmse,policy_effect_hat,policy_effect_true
n3000_s211,3000,211,mle,mixture,"[2.139567382849734, 1.05205664085955, -1.7779989552613502, 4.0, 0.30471527663209136]",1678.1368415215534,True,True,3:upper,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.018509278045237016,0.04104446915804655,0.04733964076541151,0.06035876650341749,0.05758253396453164,0.07504050783090532
n3000_s211,3000,211,mle,single,"[1.121295225043348, 0.5689086893784775, 0.683668175806108]",1679.5510977046702,True,True,,interior,True,"[0.07678893084086184, 0.10521574154605388, 0.16328333430537442]","[false, false, false]",0.017854805547966146,0.031551610156944444,0.038692272357890675,0.052424260517256,0.05173978079847363,0.07504050783090532
n3000_s211,3000,211,smm,mixture,"[2.1421273164382986, 1.02467277271399, -1.6590840113365097, 4.0, 0.3198066155526339]",0.06757309632843583,True,True,3:upper,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.01994119925474307,0.040997168781122015,0.0470229311548974,0.06150334531730976,0.05567976074520892,0.07504050783090532
n3000_s211,3000,211,smm,single,"[1.1144549504062662, 0.5550966483009266, 0.6955229501637614]",0.08180768201428436,True,True,,interior,True,"[0.07717569789700837, 0.10843574461808492, 0.16713124437406862]","[false, false, false]",0.018502231460835097,0.03252377597013396,0.039887502467616846,0.054351068804760906,0.05061648068750282,0.07504050783090532
n3000_s307,3000,307,mle,mixture,"[1.7086967150533379, 1.314042654514958, -2.2515601772305325, 3.5625113387363765, 0.27124501878419915]",1659.922466992424,True,True,,interior,True,"[0.6095937436597456, 0.4707044936773959, 1.1201147053802512, 1.448888106160972, 0.07658169304212877]","[true, true, true, true, false]",0.014508401486542082,0.017047874282567082,0.022997358691850277,0.02504854933840389,0.07884331213694548,0.07504050783090532
n3000_s307,3000,307,mle,single,"[1.0160585841997511, 0.790830909936766, 0.359182115995494]",1660.2680347852033,True,True,,interior,True,"[0.07714816399350345, 0.10696730398927841, 0.16427194807133602]","[false, false, false]",0.012389121932551966,0.012139678496711399,0.013552634452185833,0.012572202517522474,0.072555068030077,0.07504050783090532
n3000_s307,3000,307,smm,mixture,"[1.8413304380670545, 1.328601707073569, -2.4785146410847756, 3.913613250748883, 0.25901296278296443]",0.019608866099501413,True,True,,interior,True,"[1.013130606156383, 0.6585825584212956, 1.4056001894584924, 2.1140153515930566, 0.07339628176934179]","[true, true, true, true, false]",0.016073138059838083,0.02069444984147802,0.028978956965696388,0.03073075837100475,0.0761529057750847,0.07504050783090532
n3000_s307,3000,307,smm,single,"[0.9986359297142015, 0.7496609618188346, 0.4054539506503891]",0.02483772939850041,True,True,,interior,True,"[0.07815450985714097, 0.10842591491575455, 0.16654571337313423]","[false, false, false]",0.01313456169377501,0.014726511403794825,0.018957448683250337,0.018285046763011764,0.06915324309374031,0.07504050783090532
n3000_s419,3000,419,mle,mixture,"[1.7307459493339619, 0.8953052766786321, -2.5, 4.0, 0.20078048435741783]",1718.057094127758,True,True,2:lower|3:upper,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.020678353963354868,0.03811188466769124,0.04060188482005769,0.053565382777901294,0.05600084667597159,0.07504050783090532
n3000_s419,3000,419,mle,single,"[0.9919749890103724, 0.5978630314035633, 0.5214035414534637]",1720.02798525146,True,True,,interior,True,"[0.07510854178798033, 0.1024893029589584, 0.16006838043842883]","[false, false, false]",0.016582121295762992,0.02348938518890029,0.027217137568352503,0.037642133788669846,0.056626036138685054,0.07504050783090532
n3000_s419,3000,419,smm,mixture,"[1.7016247097743988, 0.9683542253113862, -2.5, 3.9310574878107754, 0.21501143561563205]",0.07459800277336169,True,True,2:lower,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.019487804973255196,0.03228082427383515,0.034004808538963864,0.04420797515619075,0.060348132626660105,0.07504050783090532
n3000_s419,3000,419,smm,single,"[0.9715770557708987, 0.5856636594775747, 0.5204411396710146]",0.1292158020863174,True,True,,interior,True,"[0.0774094336079577, 0.10428045787860614, 0.16205145065094084]","[false, false, false]",0.018229569975950148,0.02506634190251974,0.028963539259597257,0.03937397827870081,0.05582615069180548,0.07504050783090532
n3000_s523,3000,523,mle,mixture,"[1.3566137928287996, 1.2108829860443744, -0.6531281466717689, 4.0, 0.7744158371997969]",1697.3480832698178,True,True,3:upper,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.03152294861538066,0.030803215562312445,0.04024073957280915,0.03819016308318357,0.0865987169934935,0.07504050783090532
n3000_s523,3000,523,mle,single,"[1.1537726810536824, 1.0228809296879242, -0.06601239396281525]",1698.0253206275179,True,True,,interior,True,"[0.07719935490460299, 0.10626036574274327, 0.16195417661242928]","[false, false, false]",0.029484574317436042,0.039206074060087824,0.05380402823441126,0.05170030832006356,0.09280157268001955,0.07504050783090532
n3000_s523,3000,523,smm,mixture,"[1.4126325280512861, 1.2041567590275295, -0.7022610507448243, 4.0, 0.7438539367636682]",0.11255340807562743,True,True,3:upper,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.03382696945989871,0.031271074819719163,0.037874751980819854,0.03512823099248113,0.08287833527677052,0.07504050783090532
n3000_s523,3000,523,smm,single,"[1.1716081844039783, 0.981381876541981, -0.007442014995944983]",0.14083004818062453,True,True,,interior,True,"[0.07891060589087008, 0.10768534057313954, 0.16320385778358878]","[false, false, false]",0.0314023289741011,0.04046344251542022,0.05192138417926684,0.048479096786292954,0.0889821921846327,0.07504050783090532
n3000_s631,3000,631,mle,mixture,"[1.8073708808056617, 1.3831371743138496, -2.5, 3.6454527780828587, 0.2697774132606925]",1681.136761889216,True,True,2:lower,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.008546221286316987,0.027391421876559324,0.037768523459744074,0.03886326027115204,0.08309318729134364,0.07504050783090532
n3000_s631,3000,631,mle,single,"[1.049584118619263, 0.8489255765023169, 0.203632998685728]",1682.3161606764556,True,True,,interior,True,"[0.07541503454801814, 0.10379820172859129, 0.15918417664777593]","[false, false, false]",0.00725956025881384,0.009939508927145548,0.013368480190365814,0.012840016059355638,0.07863643142614596,0.07504050783090532
n3000_s631,3000,631,smm,mixture,"[1.7246672778682486, 1.398427020433927, -2.5, 3.5632621303857817, 0.27478590056913865]",0.081797816981186,True,True,2:lower,boundary,False,"[NaN, NaN, NaN, NaN, NaN]","[false, false, false, false, false]",0.009185630797776177,0.023905580565019142,0.03506095008379812,0.036878692949713764,0.08531695988510055,0.07504050783090532
n3000_s631,3000,631,smm,single,"[1.017855333327275, 0.8478183171065174, 0.1853043790446771]",0.09223051352428176,True,True,,interior,True,"[0.07686170750589563, 0.10585065715705144, 0.1621050266876938]","[false, false, false]",0.007412971242581454,0.009361359356834088,0.01299496762060871,0.013296742404641581,0.07915235295687967,0.07504050783090532
