rep,estimator,model,start,initial,final,objective,raw_grad_inf,projected_grad_inf,raw_gradient,projected_gradient,active_bounds,software_success,status,message,distance_from_best,numerical_accept
n3000_s523,smm,single,5,"[2.0620262777371368, 1.1591038014142183, -2.116108867213123]","[1.1716081845171997, 0.9813818763907615, -0.007442015180148485]",0.1408300481806246,3.8681930705428136e-08,3.8681930705428136e-08,"[-3.6173947626401415e-08, 1.5911149351191534e-08, 3.8681930705428136e-08]","[-3.6173947626401415e-08, 1.5911149351191534e-08, 3.8681930705428136e-08]",,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.326672684688674e-17,True
n3000_s523,smm,single,6,"[1.036487735417486, 1.7046309167175449, 1.4576288854480417]","[1.1716081869901784, 0.9813818835465231, -0.007442022603352689]",0.14083004818062572,9.932458911333236e-07,9.932458911333236e-07,"[-4.123186060156839e-07, 9.932458911333236e-07, 6.138665266212928e-07]","[-4.123186060156839e-07, 9.932458911333236e-07, 6.138665266212928e-07]",,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1934897514720433e-15,True
n3000_s523,smm,single,7,"[2.150641820760135, 0.3956911895567551, 0.6453055833344279]","[1.1716081858545224, 0.9813818788254381, -0.007442017836430616]",0.14083004818062472,4.0381760760786756e-08,4.0381760760786756e-08,"[4.0381760760786756e-08, -1.5491352992058616e-08, -1.304814166869922e-08]","[4.0381760760786756e-08, -1.5491352992058616e-08, -1.304814166869922e-08]",,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.942890293094024e-16,True
n3000_s631,mle,mixture,0,"[1.15, 0.9, -0.3, 1.5, 0.58]","[1.8073710478896845, 1.383137160744297, -2.5, 3.645453187893843, 0.2697774617105523]",1681.136761889218,0.8813496039238178,0.00016169775774454997,"[2.137300496152239e-05, -4.069725146527148e-05, 0.8813496039238178, -1.8038476901516276e-05, 0.00016169775774454997]","[2.137300496152239e-05, -4.069725146527148e-05, 0.0, -1.8038476901516276e-05, 0.00016169775774454997]",2:lower,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0463630789890885e-12,False
n3000_s631,mle,mixture,1,"[0.8, 0.6, -0.8, 0.5, 0.35]","[1.807369289732263, 1.3831358294781935, -2.5, 3.6454511357570207, 0.2697768927686561]",1681.1367618892932,0.8815129792248508,0.0008014047272031366,"[-0.00010481078340401906, 0.00019088425974000955, 0.8815129792248508, 9.643679704635089e-05, -0.0008014047272031366]","[-0.00010481078340401906, 0.00019088425974000955, 0.0, 9.643679704635089e-05, -0.0008014047272031366]",2:lower,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.73070496506989e-11,False
n3000_s631,mle,mixture,2,"[1.5, 1.2, 0.2, 2.5, 0.75]","[1.0495865579492105, 0.8489276167145496, 0.20303355552518035, 0.02, 0.97]",1682.3161617064725,0.00010681686161241946,3.6851289142436627e-07,"[3.645177572009217e-07, -2.992476835217417e-07, -3.6851289142436627e-07, 0.00010681686161241946, -3.3102584404885727e-05]","[3.645177572009217e-07, -2.992476835217417e-07, -3.6851289142436627e-07, 0.0, 0.0]",3:lower|4:upper,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1793998172565807,True
n3000_s631,mle,mixture,3,"[0.8870825957059485, 0.16310166793607186, -0.8548932915375929, 0.09890511225871218, 0.3484501684842114]","[1.8073708808056617, 1.3831371743138496, -2.5, 3.6454527780828587, 0.2697774132606925]",1681.136761889216,0.8813729094418279,1.6580107740749028e-05,"[1.1710655699992412e-05, -3.711324341182376e-07, 0.8813729094418279, -7.370654274918564e-06, 1.6580107740749028e-05]","[1.1710655699992412e-05, -3.711324341182376e-07, 0.0, -7.370654274918564e-06, 1.6580107740749028e-05]",2:lower,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,True
n3000_s631,mle,mixture,4,"[0.31038559855787107, 2.080496587263596, 1.1034956221428218, 1.0083484298560113, 0.6656377564203796]","[1.0497956197179992, 0.849097925865561, 0.028345282441915084, 0.18074762083858106, 0.03]",1682.3161784244826,0.0006424296386973172,0.00036603360255249573,"[7.058497850209733e-06, 0.00029763234089352775, 0.00036603360255249573, 0.00020428737778555028, 0.0006424296386973172]","[7.058497850209733e-06, 0.00029763234089352775, 0.00036603360255249573, 0.00020428737778555028, 0.0]",4:lower,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1794165352666823,False
n3000_s631,mle,mixture,5,"[2.0268733969492994, 0.5784159344275716, 0.7111581156499893, 2.2741895526701725, 0.6462876301308361]","[1.0495864920221845, 0.8489276063782998, 0.2030335741555477, 0.02, 0.97]",1682.3161617064732,0.00010757168581744525,3.636933520667629e-05,"[-2.686370230592372e-05, 3.636933520667629e-05, 2.4867810054063355e-05, 0.00010757168581744525, -3.3606586243290285e-05]","[-2.686370230592372e-05, 3.636933520667629e-05, 2.4867810054063355e-05, 0.0, 0.0]",3:lower|4:upper,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1793998172572628,False
n3000_s631,mle,mixture,6,"[1.0509683047227203, 0.9479691440390206, -2.0098980930330073, 2.707516938352517, 0.9132923243534946]","[1.6609360809921727, 1.2983993946058037, -2.5, 3.350635675258108, 0.22467970970856516]",1681.462674315685,5.280105553474712,5.280105553474712,"[5.280105553474712, -2.5508388499751318, -2.4734862223604837, -3.8181043342948984, -1.7918279014301388]","[5.280105553474712, -2.5508388499751318, -2.4734862223604837, -3.8181043342948984, -1.7918279014301388]",2:lower,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.3259124264691309,False
n3000_s631,mle,mixture,7,"[2.1723041197889774, 1.8783814802436045, -1.562655474866542, 0.6838438469420229, 0.1474275392935225]","[1.8073703826655403, 1.383136767861792, -2.5, 3.645452251230013, 0.2697773054108035]",1681.136761889216,0.8813601325531033,6.844141752182509e-05,"[7.209566422194946e-06, -2.382115594667944e-05, 0.8813601325531033, -8.668651447718556e-06, 6.844141752182509e-05]","[7.209566422194946e-06, -2.382115594667944e-05, 0.0, -8.668651447718556e-06, 6.844141752182509e-05]",2:lower,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,False
n3000_s631,mle,single,0,"[1.0, 0.8, 0.2]","[1.0495840416774724, 0.8489257460147208, 0.20363273874673365]",1682.3161606764581,3.44675285024465e-05,3.44675285024465e-05,"[-2.8135485241886915e-05, 3.44675285024465e-05, 1.2730412163319826e-05]","[-2.8135485241886915e-05, 3.44675285024465e-05, 1.2730412163319826e-05]",,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.5011104298755527e-12,False
n3000_s631,mle,single,1,"[0.6, 0.5, -0.8]","[1.0495841279666396, 0.8489255164836743, 0.203633127139678]",1682.316160676456,1.3056806775768592e-05,1.3056806775768592e-05,"[-9.931063928214634e-06, 1.2253556266550447e-05, 1.3056806775768592e-05]","[-9.931063928214634e-06, 1.2253556266550447e-05, 1.3056806775768592e-05]",,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.547473508864641e-13,True
n3000_s631,mle,single,2,"[2.172236421540369, 1.8220818444268594, 1.9653503751793986]","[1.049584118619263, 0.8489255765023169, 0.203632998685728]",1682.3161606764556,1.112716620366161e-05,1.112716620366161e-05,"[9.785478816137783e-09, -1.112716620366161e-05, -6.9480159454737844e-06]","[9.785478816137783e-09, -1.112716620366161e-05, -6.9480159454737844e-06]",,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,True
n3000_s631,mle,single,3,"[1.1260838423156208, 0.2856290902859416, -1.5904117893042091]","[1.0495839460832743, 0.848925412424838, 0.20363309928730072]",1682.3161606764606,5.0162740895087765e-05,5.0162740895087765e-05,"[-1.741287743795006e-05, -5.0162740895087765e-05, -2.4764401935661873e-05]","[-1.741287743795006e-05, -5.0162740895087765e-05, -2.4764401935661873e-05]",,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.002220859751105e-12,False
n3000_s631,mle,single,4,"[2.4031715982051804, 1.2744033879786696, 1.7058252160701644]","[1.0495841400489778, 0.8489256056509124, 0.20363298191686455]",1682.3161606764556,1.5708007358172793e-06,1.5708007358172793e-06,"[-9.35220518305524e-07, 1.5708007358172793e-06, 8.933539019650993e-08]","[-9.35220518305524e-07, 1.5708007358172793e-06, 8.933539019650993e-08]",,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,True
