delta,start,objective,theta,software_success,projected_grad_inf,active_bounds,policy_effect,message,lr,in_95_set
0.6499999999999999,0,342.39098662506103,"[1.0448991697899568, 0.7831452869594833, -0.30497492818024424, 0.6499999999999999, 0.09397300296578244]",True,6.727602057665649e-07,,0.07263259208446349,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2778692689344098,True
0.6499999999999999,1,342.39098662506103,"[1.044899089470747, 0.7831452205546733, -0.3049752507987788, 0.6499999999999999, 0.09397246744006413]",True,1.6360753889443913e-06,,0.07263258943123103,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2778692689344098,True
0.6499999999999999,2,342.3922002967257,"[1.0380982520512292, 0.7782105915376202, 0.2644979117556403, 0.6499999999999999, 0.97]",True,3.363852307813886e-09,3:upper,0.07258627736090144,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.28029661226378266,True
0.7,0,342.3907613590698,"[1.0471920579905893, 0.78482584800126, -0.34415641349652587, 0.7, 0.10240065678078844]",True,1.310235479357047e-05,,0.07264302727896785,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2774187369519723,True
0.7,1,342.390761359066,"[1.047192166294337, 0.7848252476054406, -0.3441551228510076, 0.7, 0.10240111654496703]",True,9.883080354100571e-08,,0.07264296905212603,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27741873694435526,True
0.7,2,342.3923408285632,"[1.0383694889931172, 0.7784233719114527, 0.2632357685757318, 0.7, 0.97]",True,2.7801437907370996e-07,3:upper,0.07258301430733494,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.28057767593872995,True
0.7499999999999999,0,342.39047707357724,"[1.0497114165898447, 0.7866683082847885, -0.38340331860959165, 0.7499999999999999, 0.10963001888884027]",True,2.8762258597048174e-06,,0.07265506037852049,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27685016596683454,True
0.7499999999999999,1,342.390477073577,"[1.04971157521277, 0.7866684108112084, -0.3834018244263161, 0.7499999999999999, 0.10963193110666934]",True,5.857537335174356e-07,,0.07265505781654566,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2768501659663798,True
0.7499999999999999,2,342.3924938697503,"[1.0386499880472093, 0.7786441419554729, 0.2619975298743532, 0.7499999999999999, 0.97]",True,2.836387338334134e-07,3:upper,0.07257933367750682,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2808837583129389,True
0.7999999999999999,0,342.39012766080646,"[1.052462783716702, 0.7886784997557635, -0.4226947755548304, 0.7999999999999999, 0.11592093341277525]",True,2.663409234937575e-06,,0.07266899597886237,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27615134042525824,True
0.7999999999999999,1,342.39012766080396,"[1.052463414437275, 0.7886788910689773, -0.42269002064536115, 0.7999999999999999, 0.1159265474289636]",True,4.602564581901447e-06,,0.0726689894345356,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.276151340420256,True
0.7999999999999999,2,342.3985493596803,"[1.0582638374459006, 0.7972738984621384, 0.07933903236918288, 0.7999999999999999, 0.7381547591205916]",True,0.0611598109476863,,0.07282278681250691,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.29299473817297894,False
0.8499999999999999,0,342.38970706692555,"[1.0554470095695276, 0.7908543787385326, -0.4620328500187634, 0.8499999999999999, 0.12143872395250054]",True,0.00018559262572859225,,0.07268469271592645,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27531015266345094,False
0.8499999999999999,1,342.38970706662667,"[1.0554537733931864, 0.7908605950888639, -0.46199791959320674, 0.8499999999999999, 0.12148037774821349]",True,5.822650983589028e-08,,0.07268486937376924,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27531015206568554,True
0.8499999999999999,2,342.3928362346642,"[1.0392335091414397, 0.7791057196518644, 0.2595949591767126, 0.8499999999999999, 0.97]",True,3.2235814018122255e-08,3:upper,0.07257067771338849,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.28156848814069235,True
0.8999999999999999,0,342.38920931022915,"[1.0586890829669404, 0.7932179002092432, -0.5013053855957604, 0.8999999999999999, 0.12644360238630775]",True,8.307194860890377e-07,,0.07270282095013621,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27431463927064215,True
0.8999999999999999,1,342.38920931022915,"[1.0586891892241277, 0.7932179783427138, -0.5013047037794378, 0.8999999999999999, 0.12644436291545066]",True,3.2823717970309474e-06,,0.07270282139412053,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27431463927064215,True
