index,start_id,initial,terminal,objective,raw_gradient,projected_gradient,projected_gradient_max,optimizer_success,accepted,status,message,nit,distance_from_best
0.1,4,"[-1.8, 0.7884573603642703, -0.916290731874155, 0.5877866649021191, 0.1]","[-0.6695933011883317, 1.4391584940390225, -0.3279361710180739, 0.9785647858128825, 0.5337737676167347]",1318.1292187509446,"[-3.923592502230733e-06, -1.217654673110523e-07, 6.02230849366947e-06, 2.0612299982403215e-06, -7.668340793243189e-06]","[-3.923592502230733e-06, -1.217654673110523e-07, 6.02230849366947e-06, 2.0612299982403215e-06, -7.668340793243189e-06]",7.668340793243189e-06,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25,0.0
0.1,5,"[-0.2, -0.6931471805599453, 0.5306282510621704, -0.6931471805599453, 1.0]","[-0.669593191168322, 1.4391582572833006, -0.3279360628797318, 0.9785644602834871, 0.533773777348826]",1318.1292187509453,"[9.78829923681257e-06, 1.481120472876491e-05, -4.29782469524298e-06, -1.5217906962128325e-05, -1.2343590227725798e-06]","[9.78829923681257e-06, 1.481120472876491e-05, -4.29782469524298e-06, -1.5217906962128325e-05, -1.2343590227725798e-06]",1.5217906962128325e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,6.821210263296962e-13
0.15,0,"[-0.6695933011883317, 1.4391584940390225, -0.3279361710180739, 0.9785647858128825, 0.5337737676167347]","[-0.8447833319776479, 1.3338491781165425, -0.4434493469222895, 0.8725550587724741, 0.5361185391690648]",1317.821422628194,"[1.5420443788105587e-05, 8.448181970682252e-06, -1.3366242871626355e-05, -5.64832995575415e-06, 1.9663587655927017e-05]","[1.5420443788105587e-05, 8.448181970682252e-06, -1.3366242871626355e-05, -5.64832995575415e-06, 1.9663587655927017e-05]",1.9663587655927017e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,9.094947017729282e-13
0.15,1,"[-2.0209576691605418, 1.2070154455693403, -2.0, 0.4844749849827514, 0.5381854602783698]","[-0.8447840492040581, 1.3338501029837424, -0.44344967000018726, 0.8725554778053476, 0.5361183845538663]",1317.8214226282125,"[-3.422033855127182e-05, 3.031584249073378e-05, 5.15794892521626e-05, -1.3069155176737013e-05, -7.259532147241288e-05]","[-3.422033855127182e-05, 3.031584249073378e-05, 5.15794892521626e-05, -1.3069155176737013e-05, -7.259532147241288e-05]",7.259532147241288e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,31,1.9554136088117957e-11
0.15,2,"[-1.2, 0.0, -0.5108256237659907, 0.26236426446749106, 0.4]","[-0.8447835201267473, 1.3338496826068584, -0.44344954064436426, 0.8725557724250957, 0.5361186819438576]",1317.821422628209,"[-2.448243051156318e-05, -4.526408092478306e-05, 1.6280701579773904e-05, 5.636285293597609e-05, 5.864277656497663e-05]","[-2.448243051156318e-05, -4.526408092478306e-05, 1.6280701579773904e-05, 5.636285293597609e-05, 5.864277656497663e-05]",5.864277656497663e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26,1.5916157281026244e-11
0.15,3,"[-0.6, 0.4054651081081644, 0.0, -0.35667494393873245, 0.8]","[-0.8447833492417303, 1.3338488827173065, -0.44344930746081823, 0.8725547725907781, 0.5361184971551349]",1317.821422628193,"[-7.3546602541441075e-06, -7.756543565154872e-06, 6.5465785006324495e-06, 6.6344670894835645e-06, 9.147479378412982e-07]","[-7.3546602541441075e-06, -7.756543565154872e-06, 6.5465785006324495e-06, 6.6344670894835645e-06, 9.147479378412982e-07]",7.756543565154872e-06,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25,0.0
0.15,4,"[-1.8, 0.7884573603642703, -0.916290731874155, 0.5877866649021191, 0.1]","[-0.844783382811289, 1.3338489754938463, -0.4434493482611504, 0.8725548428763615, 0.5361184906321179]",1317.821422628193,"[-1.5667445547595804e-06, -2.1518823649047206e-06, 8.958653090473945e-07, 1.926193087697925e-06, -6.414997026915614e-07]","[-1.5667445547595804e-06, -2.1518823649047206e-06, 8.958653090473945e-07, 1.926193087697925e-06, -6.414997026915614e-07]",2.1518823649047206e-06,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,0.0
0.15,5,"[-0.2, -0.6931471805599453, 0.5306282510621704, -0.6931471805599453, 1.0]","[-0.8447840391225065, 1.3338495713545528, -0.44344983632193147, 0.8725552937398426, 0.536118578490297]",1317.8214226281987,"[-2.5220095915434726e-05, -2.1129543524152525e-05, 9.804702184368352e-06, 2.3204905899021355e-05, 1.869878357840804e-05]","[-2.5220095915434726e-05, -2.1129543524152525e-05, 9.804702184368352e-06, 2.3204905899021355e-05, 1.869878357840804e-05]",2.5220095915434726e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,32,5.6843418860808015e-12
0.2,0,"[-0.8447833492417303, 1.3338488827173065, -0.44344930746081823, 0.8725547725907781, 0.5361184971551349]","[-1.0155800316458055, 1.2729194728291302, -0.5689863482871194, 0.7928815435039571, 0.5377820567769641]",1317.5749500099657,"[-3.827478081142033e-06, 1.7566909869063792e-06, -6.6482326595007635e-06, -7.78169507142934e-06, -2.221156257187218e-05]","[-3.827478081142033e-06, 1.7566909869063792e-06, -6.6482326595007635e-06, -7.78169507142934e-06, -2.221156257187218e-05]",2.221156257187218e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,3.183231456205249e-12
0.2,1,"[-2.0209576691605418, 1.2070154455693403, -2.0, 0.4844749849827514, 0.5381854602783698]","[-1.015579697816254, 1.2729195269608355, -0.5689860413038664, 0.7928817341603239, 0.5377821071458165]",1317.5749500099628,"[-1.1560422592538089e-05, -4.502092697748775e-06, 1.0214479583936509e-05, 7.658692632972475e-06, -9.483199036708356e-06]","[-1.1560422592538089e-05, -4.502092697748775e-06, 1.0214479583936509e-05, 7.658692632972475e-06, -9.483199036708356e-06]",1.1560422592538089e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,2.2737367544323206e-13
