estimator,start,initial,terminal,objective,raw_gradient,projected_gradient,projected_gradient_inf,active_bounds,solver_success,status,message,distance_from_best_objective,sigma_index,accepted
profile_sigma_0.50,0,"[0.6590993567403443, 0.3096406450454383, -0.770894139448943, -0.5590131448096968, -0.6566919837007335]","[0.6672913453014245, 0.3179435976976139, -0.7895862324630869, -0.5691764398741339, -0.6677792132000459]",1740.4985917795043,"[6.821210229022023e-05, -9.09494702251646e-05, -0.00013642420458044046, 0.00040927261374132135, -0.00015916157201051386]","[6.821210229022023e-05, -9.09494702251646e-05, -0.00013642420458044046, 0.00040927261374132135, -0.00015916157201051386]",0.00040927261374132135,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1937117960769683e-10,0.5,True
profile_sigma_0.50,1,"[0.23153947137249564, 0.08703498101026827, -0.7530562187664611, -0.42263212828745444, -0.614208723176092]","[0.6672893453496477, 0.31794162740427273, -0.7895860978791497, -0.5691765105274627, -0.6677771261566058]",1740.4985917797405,"[-0.00025011104173080747, -0.00025011104311920267, 0.0003183231440210277, -0.0017053025572555055, -0.00015916157201051386]","[-0.00025011104173080747, -0.00025011104311920267, 0.0003183231440210277, -0.0017053025572555055, -0.00015916157201051386]",0.0017053025572555055,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.5561242839321494e-10,0.5,True
profile_sigma_0.50,2,"[0.5662981348299219, 0.5503823648220494, -0.827839126962135, -0.5614964921622864, -0.797573732292179]","[0.6672909099346065, 0.31794162983304897, -0.789587942751677, -0.5691769439762886, -0.6677749541398319]",1740.4985917806512,"[2.2737367430073406e-05, -0.00020463630800662038, -0.0010459189017833768, -0.00045474734860146814, 6.821210229022023e-05]","[2.2737367430073406e-05, -0.00020463630800662038, -0.0010459189017833768, -0.00045474734860146814, 6.821210229022023e-05]",0.0010459189017833768,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2662439985433593e-09,0.5,True
profile_sigma_0.50,3,"[1.164090895318013, 0.4106323294801965, -0.9159266126242235, -0.6316262055176906, -0.6556345389024295]","[0.6672942555851984, 0.317942671621106, -0.7895862502654967, -0.5691768610563448, -0.6677762288433315]",1740.4985917797735,"[0.0003183231440210277, -9.09494702251646e-05, -0.0002728484091608809, 0.0011823431063638173, 0.00011368683715036704]","[0.0003183231440210277, -9.09494702251646e-05, -0.0002728484091608809, 0.0011823431063638173, 0.00011368683715036704]",0.0011823431063638173,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.885816113324836e-10,0.5,True
profile_sigma_0.50,4,"[0.7176522428144277, 0.2987807995902447, -0.6433236141087884, -0.4299426513446296, -0.5458523459290948]","[0.6672910716282832, 0.3179429870992058, -0.7895861358587228, -0.5691765245764431, -0.6677775446720613]",1740.498591779385,"[0.0, 2.273736755629115e-05, 6.821210229022023e-05, 2.2737367430073406e-05, 2.2737367430073406e-05]","[0.0, 2.273736755629115e-05, 6.821210229022023e-05, 2.2737367430073406e-05, 2.2737367430073406e-05]",6.821210229022023e-05,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,0.5,True
profile_sigma_0.50,5,"[0.4955243631509885, 0.1698366921309572, -0.835482386197113, -0.6285722830667635, -0.42933167782722537]","[0.6672915442870315, 0.3179428322105527, -0.7895860864279883, -0.5691765777000901, -0.6677770783320237]",1740.4985917793995,"[2.2737367430073406e-05, 2.273736755629115e-05, 4.547473486014681e-05, 0.00015916157201051386, 4.547473486014681e-05]","[2.2737367430073406e-05, 2.273736755629115e-05, 4.547473486014681e-05, 0.00015916157201051386, 4.547473486014681e-05]",0.00015916157201051386,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4551915228366852e-11,0.5,True
profile_sigma_0.60,0,"[0.6590993567403443, 0.3096406450454383, -0.770894139448943, -0.5590131448096968, -0.6566919837007335]","[0.6810348186461824, 0.33109764791942864, -0.8178595231751334, -0.5845918373546004, -0.6844943517458361]",1743.7190281437825,"[0.0, 0.0, 0.0, -2.2737367430073406e-05, 0.0]","[0.0, 0.0, 0.0, -2.2737367430073406e-05, 0.0]",2.2737367430073406e-05,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,0.6,True
profile_sigma_0.60,1,"[0.5908455834142259, 0.12410264327920242, -0.750737491784976, -0.532738627355216, -0.9335877748782806]","[0.6810353396786427, 0.3310980294027462, -0.8178594277825669, -0.5845919080598928, -0.6844946824126068]",1743.7190281437938,"[-2.2737367430073406e-05, 0.0, 6.821210229022023e-05, -9.094946972029363e-05, 0.0]","[-2.2737367430073406e-05, 0.0, 6.821210229022023e-05, -9.094946972029363e-05, 0.0]",9.094946972029363e-05,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1368683772161603e-11,0.6,True
profile_sigma_0.60,2,"[0.7581884915465337, 0.5442442788351516, -0.8823168054822279, -0.5565741844377455, -0.5666778161064218]","[0.6810316021434296, 0.33109855447936604, -0.8178590250232485, -0.5845910635840963, -0.6844980180715752]",1743.7190281446028,"[-9.094946972029363e-05, 4.54747351125823e-05, 0.0002955857765909543, 0.00040927261374132135, -0.00022737367430073407]","[-9.094946972029363e-05, 4.54747351125823e-05, 0.0002955857765909543, 0.00040927261374132135, -0.00022737367430073407]",0.00040927261374132135,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.203642209991813e-10,0.6,True
profile_sigma_0.60,3,"[0.17638903915881105, 0.3009697675703253, -0.8173489381809486, -0.6574790952663899, -0.6677026994851484]","[0.6810341514328841, 0.3310970537510192, -0.8178594751935345, -0.5845917114437759, -0.6844939389558812]",1743.719028143796,"[0.0, -4.54747351125823e-05, 0.0, 9.094946972029363e-05, 0.0]","[0.0, -4.54747351125823e-05, 0.0, 9.094946972029363e-05, 0.0]",9.094946972029363e-05,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3642420526593924e-11,0.6,True
profile_sigma_0.60,4,"[0.7991799441637855, 0.26405718108288107, -1.1893453996337213, -0.5029614916651568, -0.5865797200224473]","[0.6810326455870988, 0.3310963789194324, -0.8178595764343743, -0.5845915032805795, -0.6844936046241925]",1743.7190281438661,"[-2.2737367430073406e-05, -4.54747351125823e-05, -4.547473486014681e-05, 6.821210229022023e-05, 0.0]","[-2.2737367430073406e-05, -4.54747351125823e-05, -4.547473486014681e-05, 6.821210229022023e-05, 0.0]",6.821210229022023e-05,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.36735125631094e-11,0.6,True
profile_sigma_0.60,5,"[0.4562498899535098, 0.3289044985203553, -0.7630614104786447, -0.5034593664226983, -0.6010100898208014]","[0.6810324437145883, 0.3311008718540549, -0.8178611888747597, -0.584591958093043, -0.6844952770182029]",1743.7190281457788,"[-0.0003637978788811745, 0.0007730704969138992, -0.0005456968183217618, -0.00040927261374132135, 0.0003183231440210277]","[-0.0003637978788811745, 0.0007730704969138992, -0.0005456968183217618, -0.00040927261374132135, 0.0003183231440210277]",0.0007730704969138992,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9963408703915775e-09,0.6,True
profile_sigma_0.70,0,"[0.6590993567403443, 0.3096406450454383, -0.770894139448943, -0.5590131448096968, -0.6566919837007335]","[0.6955595641079324, 0.3444895707179702, -0.846606838919644, -0.6001996951319546, -0.7007012701832508]",1749.4277625943962,"[0.0005229594508916884, -0.0007048583942450257, -0.0002955857765909543, 0.0008412825949127161, -0.0003410605114511011]","[0.0005229594508916884, -0.0007048583942450257, -0.0002955857765909543, 0.0008412825949127161, -0.0003410605114511011]",0.0008412825949127161,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.840135155362077e-09,0.7,True
profile_sigma_0.70,1,"[0.6075977197333574, 0.44016098898186395, -0.8080520628621913, -0.5910774381057965, -0.5812143595707553]","[0.695554140955021, 0.3444911890511877, -0.8466076801670855, -0.6001994843905323, -0.7007004493998965]",1749.4277625927928,"[-9.094946972029363e-05, 0.00013642420533774692, -0.00018189893944058725, -0.0005911715531819086, 6.821210229022023e-05]","[-9.094946972029363e-05, 0.00013642420533774692, -0.00018189893944058725, -0.0005911715531819086, 6.821210229022023e-05]",0.0005911715531819086,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.3669599613640457e-10,0.7,True
