estimator,start,initial,terminal,objective,raw_gradient,projected_gradient,projected_gradient_inf,active_bounds,solver_success,status,message,distance_from_best_objective
homogeneous_logit,2,"[0.366065483183688, 0.6912220500483979, -0.6305962265263426, -0.4185831975940145, -0.5716655548139202]","[0.6448344379121145, 0.2856395332614853, -0.7113232950579408, -0.526653124941019, -0.6202018882638173]",1749.2842922108725,"[2.2737367430073406e-05, -4.54747351125823e-05, 2.2737367430073406e-05, -0.00015916157201051386, -2.2737367430073406e-05]","[2.2737367430073406e-05, -4.54747351125823e-05, 2.2737367430073406e-05, -0.00015916157201051386, -2.2737367430073406e-05]",0.00015916157201051386,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4551915228366852e-11
homogeneous_logit,3,"[0.12677746362478848, 0.7058198647208314, -1.0728581395280086, -0.6929475034698551, -0.11637675014140936]","[0.6448337022151753, 0.28563932089967387, -0.7113232738009047, -0.5266529846136588, -0.6202018786180348]",1749.284292210858,"[0.0, -4.54747351125823e-05, 0.0, -4.547473486014681e-05, -4.547473486014681e-05]","[0.0, -4.54747351125823e-05, 0.0, -4.547473486014681e-05, -4.547473486014681e-05]",4.54747351125823e-05,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0
homogeneous_logit,4,"[0.31460930921143854, -0.02036039891143021, -0.6166929335332935, -0.256449136687815, -0.7619225453714267]","[0.6448321406980803, 0.28563895588374044, -0.71132332004027, -0.5266527338834477, -0.6202020185967183]",1749.2842922108987,"[-4.547473486014681e-05, -2.273736755629115e-05, 0.0, 6.821210229022023e-05, -2.2737367430073406e-05]","[-4.547473486014681e-05, -2.273736755629115e-05, 0.0, 6.821210229022023e-05, -2.2737367430073406e-05]",6.821210229022023e-05,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.069988790433854e-11
homogeneous_logit,5,"[0.33529560957856824, 0.2885742309748747, -0.9401205469368928, -0.786271795395976, -0.7548710158465293]","[0.6448336952729858, 0.28563948463680994, -0.7113233201866057, -0.5266529886348316, -0.620202090494264]",1749.2842922108593,"[2.2737367430073406e-05, 0.0, 0.0, 0.0, -2.2737367430073406e-05]","[2.2737367430073406e-05, 0.0, 0.0, 0.0, -2.2737367430073406e-05]",2.2737367430073406e-05,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3642420526593924e-12
two_point_latent_class_mle,0,"[0.5023795542664531, -0.08760373065429455, -0.9353405545793633, -0.6689057272960929, -0.5799961044172045, -0.24270261803368431, 0.01590290127665228]","[0.6681245450344017, 0.3211083637317791, -0.8553840355040065, -0.20443978731285894, -0.5597955123818653, -0.6603937152782219, -0.4314301695471476]",1740.0054168560073,"[2.2737367430073406e-05, -0.0001818989404503292, 9.094946972029363e-05, 4.54747351125823e-05, -0.00018189893944058725, -6.821210229022023e-05, -4.54747351125823e-05]","[2.2737367430073406e-05, -0.0001818989404503292, 9.094946972029363e-05, 4.54747351125823e-05, -0.00018189893944058725, -6.821210229022023e-05, -4.54747351125823e-05]",0.0001818989404503292,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.7061909097246826e-11
two_point_latent_class_mle,1,"[0.35284102530625644, 0.06828677066020522, -1.1741955421192147, -1.2222144759274765, -0.4879726110179893, -0.35791716774290183, 0.36030064142889984]","[0.6681232848250043, 0.3211089120871277, -0.8553820987914608, -0.20444288361527843, -0.5597952355161764, -0.6603943658468041, -0.4314215982955586]",1740.0054168559702,"[2.2737367430073406e-05, 2.273736755629115e-05, 2.2737367430073406e-05, -2.273736755629115e-05, 4.547473486014681e-05, 2.2737367430073406e-05, 0.0]","[2.2737367430073406e-05, 2.273736755629115e-05, 2.2737367430073406e-05, -2.273736755629115e-05, 4.547473486014681e-05, 2.2737367430073406e-05, 0.0]",4.547473486014681e-05,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0
two_point_latent_class_mle,2,"[0.0010968112300852872, 0.027028900452774562, -0.45859497896470414, -0.16995835792407, -0.28516324057253073, -0.2702070959480436, -0.7933712569007407]","[0.6681261899914063, 0.32110548583194154, -0.8553818733763835, -0.2044455584991019, -0.559795244019714, -0.660390639631316, -0.4314302183145514]",1740.0054168577653,"[0.0002728484091608809, -0.0005002220862384053, 0.0005456968183217618, -4.54747351125823e-05, 0.00015916157201051386, -2.2737367430073406e-05, -9.09494702251646e-05]","[0.0002728484091608809, -0.0005002220862384053, 0.0005456968183217618, -4.54747351125823e-05, 0.00015916157201051386, -2.2737367430073406e-05, -9.09494702251646e-05]",0.0005456968183217618,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7951151676243171e-09
two_point_latent_class_mle,3,"[0.5241626237010151, 0.645620939089401, -0.5971758765803499, -0.2413341610610622, -0.4803251341887794, -0.4060548363967877, -0.26285389483867116]","[0.6681232856003604, 0.32110918311295916, -0.8553877896127811, -0.2044394545753837, -0.5597951950510028, -0.6603952183596654, -0.431451931298672]",1740.0054168562885,"[-0.00011368683715036704, -9.09494702251646e-05, 0.00038653524631124795, -2.273736755629115e-05, -0.0008185452274826427, -0.00015916157201051386, -0.00011368683778145576]","[-0.00011368683715036704, -9.09494702251646e-05, 0.00038653524631124795, -2.273736755629115e-05, -0.0008185452274826427, -0.00015916157201051386, -0.00011368683778145576]",0.0008185452274826427,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.183231456205249e-10
two_point_latent_class_mle,4,"[0.9444860707935547, -0.06485284922234419, -0.797132552076781, -0.9074923805420312, -0.4079585751054042, -0.3765726121360354, 0.7846323388819032]","[0.668124231029596, 0.32109969617034967, -0.85539963187214, -0.20441733676114282, -0.5597958256628938, -0.6603831490707265, -0.4315141950038869]",1740.0054168766344,"[-6.821210229022023e-05, -0.0009549694373642284, 0.002660271989318589, 0.0011596057453708488, -0.0020008883338464597, 0.00025011104173080747, -0.0005229594537946965]","[-6.821210229022023e-05, -0.0009549694373642284, 0.002660271989318589, 0.0011596057453708488, -0.0020008883338464597, 0.00025011104173080747, -0.0005229594537946965]",0.002660271989318589,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0664174371631816e-08
two_point_latent_class_mle,5,"[0.8568319782941896, 0.027009060013668484, -0.55618506933009, -0.36725511522875154, -0.27651977762387203, -0.4656588210053047, -0.13793871179285433]","[0.6681247088419495, 0.3211095997881992, -0.8553801789234498, -0.20444154169927203, -0.5597957350609676, -0.6603951359407891, -0.431407970239315]",1740.005416856593,"[-2.2737367430073406e-05, -4.54747351125823e-05, -6.821210229022023e-05, 6.821210266887346e-05, -0.00045474734860146814, -9.094946972029363e-05, 4.54747351125823e-05]","[-2.2737367430073406e-05, -4.54747351125823e-05, -6.821210229022023e-05, 6.821210266887346e-05, -0.00045474734860146814, -9.094946972029363e-05, 4.54747351125823e-05]",0.00045474734860146814,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6.227764970390126e-10
