seed,market,product,alpha_hat_GMM,price,true_markup,recovered_markup,markup_error,true_mc,recovered_mc,mc_error
48101,38,1,1.4237467945836546,2.9683348724741485,1.253012168739433,1.0560969185022777,-0.1969152502371554,1.7153227037347154,1.9122379539718708,0.1969152502371554
48101,39,0,1.4237467945836546,2.761775555658514,1.249667617845129,1.0532779754932922,-0.19638964235183676,1.512107937813385,1.7084975801652218,0.19638964235183676
48101,39,1,1.4237467945836546,3.0532362960095565,1.2496676178451294,1.053277975493292,-0.19638964235183742,1.8035686781644271,1.9999583205162645,0.19638964235183742
48101,40,0,1.4237467945836546,2.882480687277288,1.1874763789038065,1.0008603075389335,-0.18661607136487302,1.6950043083734816,1.8816203797383546,0.18661607136487302
48101,40,1,1.4237467945836546,3.0295353986131706,1.187476378903806,1.0008603075389337,-0.18661607136487235,1.8420590197093645,2.028675091074237,0.18661607136487235
48101,41,0,1.4237467945836546,2.99713581533906,1.2405392277584357,1.0455841438754119,-0.19495508388302385,1.7565965875806242,1.951551671463648,0.19495508388302385
48101,41,1,1.4237467945836546,2.8042591360248945,1.2405392277584357,1.045584143875412,-0.19495508388302363,1.5637199082664588,1.7586749921494824,0.19495508388302363
48101,42,0,1.4237467945836546,3.14630773515063,1.2126827305119752,1.022105392721827,-0.19057733779014807,1.9336250046386547,2.124202342428803,0.1905773377901483
48101,42,1,1.4237467945836546,3.022164181565777,1.212682730511975,1.022105392721827,-0.19057733779014785,1.8094814510538022,2.0000587888439503,0.19057733779014807
48101,43,0,1.4237467945836546,2.7034891494397084,1.2109120233961366,1.020612958430077,-0.19029906496605964,1.4925771260435718,1.6828761910096315,0.19029906496605964
48101,43,1,1.4237467945836546,2.6719272562792664,1.210912023396137,1.020612958430077,-0.19029906496606008,1.4610152328831294,1.6513142978491895,0.19029906496606008
48101,44,0,1.4237467945836546,2.4807738357550413,1.211599049228388,1.0211920157468963,-0.19040703348149157,1.2691747865266534,1.459581820008145,0.19040703348149157
48101,44,1,1.4237467945836546,2.989361511812123,1.2115990492283875,1.0211920157468963,-0.19040703348149113,1.7777624625837356,1.9681694960652267,0.19040703348149113
48101,45,0,1.4237467945836546,2.49692307323972,1.2312704029359094,1.03777194733222,-0.1934984556036894,1.2656526703038105,1.4591511259074998,0.1934984556036894
48101,45,1,1.4237467945836546,3.0631745897307985,1.2312704029359085,1.0377719473322198,-0.19349845560368872,1.83190418679489,2.0254026423985785,0.1934984556036885
48101,46,0,1.4237467945836546,2.7206354790361647,1.1320248352666216,0.9541231681699347,-0.17790166709668687,1.588610643769543,1.76651231086623,0.17790166709668687
48101,46,1,1.4237467945836546,2.9206766795786274,1.1320248352666216,0.9541231681699347,-0.17790166709668687,1.7886518443120059,1.9665535114086927,0.17790166709668687
48101,47,0,1.4237467945836546,3.0211900995588583,1.243431834178534,1.0480221670669803,-0.19540966711155372,1.7777582653803243,1.973167932491878,0.19540966711155372
48101,47,1,1.4237467945836546,2.76180197011497,1.2434318341785342,1.0480221670669803,-0.19540966711155394,1.5183701359364357,1.7137798030479896,0.19540966711155394
48101,48,0,1.4237467945836546,2.8002353425143864,1.2737947407670376,1.073613436557288,-0.20018130420974956,1.5264406017473489,1.7266219059570984,0.20018130420974956
48101,48,1,1.4237467945836546,2.905640087965322,1.2737947407670343,1.073613436557288,-0.20018130420974622,1.6318453471982879,1.8320266514080341,0.20018130420974622
48101,49,0,1.4237467945836546,3.1084835998563474,1.2699718945440648,1.0703913640054517,-0.19958053053861313,1.8385117053122826,2.038092235850896,0.19958053053861335
48101,49,1,1.4237467945836546,2.9528975838461133,1.269971894544063,1.0703913640054517,-0.19958053053861136,1.6829256893020503,1.8825062198406617,0.19958053053861136
48101,50,0,1.4237467945836546,2.710693009380018,1.2697560892389435,1.0702094732598202,-0.19954661597912327,1.4409369201410747,1.640483536120198,0.19954661597912327
48101,50,1,1.4237467945836546,2.7447045945466275,1.269756089238943,1.0702094732598202,-0.19954661597912282,1.4749485053076845,1.6744951212868073,0.19954661597912282
48101,51,0,1.4237467945836546,2.9556277971293206,1.2816835037576517,1.0802624528182958,-0.20142105093935592,1.6739442933716688,1.8753653443110248,0.20142105093935592
48101,51,1,1.4237467945836546,3.197656828370346,1.2816835037576535,1.0802624528182958,-0.2014210509393577,1.9159733246126924,2.11739437555205,0.20142105093935747
48101,52,0,1.4237467945836546,2.9080235638813456,1.3002442322554753,1.0959062978349636,-0.20433793442051162,1.6077793316258704,1.812117266046382,0.20433793442051162
48101,52,1,1.4237467945836546,2.652732584576618,1.3002442322554748,1.0959062978349634,-0.2043379344205114,1.3524883523211433,1.5568262867416547,0.2043379344205114
48101,53,0,1.4237467945836546,2.9550653936179905,1.248293356560729,1.0521196841822569,-0.19617367237847216,1.7067720370572614,1.9029457094357336,0.19617367237847216
