seed,market,scenario,consumer_payment,producer_revenue,producer_profit,tax_payment,subsidy_payment,real_resource_cost,consumer_surplus,welfare_CS_plus_profit_minus_net_fiscal
48101,44,baseline,0.8371567483242623,0.8371567483242623,0.37826571589505387,0.0,0.0,0.45889103242920853,0.31188547686715,0.6901511927622039
48101,45,baseline,0.892834667575909,0.892834667575909,0.3979370696025726,0.0,0.0,0.49489759797333643,0.32530670089435815,0.7232437704969308
48101,46,baseline,0.7487255850456905,0.7487255850456905,0.29869150193328803,0.0,0.0,0.45003408311240256,0.2552745630131257,0.5539660649464138
48101,47,baseline,0.9540155938082008,0.9540155938082008,0.41009850084519395,0.0,0.0,0.5439170929630068,0.3334972682028854,0.7435957690480793
48101,48,baseline,0.9904363751169332,0.9904363751169332,0.44046140743366835,0.0,0.0,0.5499749676832648,0.3536016558050118,0.7940630632386801
48101,49,baseline,1.0383412934412286,1.0383412934412286,0.4366385612106819,0.0,0.0,0.6017027322305466,0.3510969389493777,0.7877355001600597
48101,50,baseline,0.9366420063100918,0.9366420063100918,0.43642275590560903,0.0,0.0,0.5002192504044827,0.35095531925168755,0.7873780751572965
48101,51,baseline,1.067998035813672,1.067998035813672,0.4483501704242877,0.0,0.0,0.6196478653893842,0.3587466732242977,0.8070968436485855
48101,52,baseline,0.9973871934914983,0.9973871934914983,0.4669108989221411,0.0,0.0,0.5304762945693572,0.3707280621513793,0.8376389610735204
48101,53,baseline,0.9518207266748446,0.9518207266748446,0.4149600232273847,0.0,0.0,0.53686070344746,0.3367490503877715,0.7517090736151562
48101,54,baseline,1.009851560234362,1.009851560234362,0.44388381634618057,0.0,0.0,0.5659677438881815,0.35583763843516936,0.7997214547813499
48101,55,baseline,0.9002096754313513,0.9002096754313513,0.38211464122018834,0.0,0.0,0.518095034211163,0.3145285574736046,0.6966431986937929
48101,56,baseline,1.032672536415519,1.032672536415519,0.46076950794562443,0.0,0.0,0.5719030284698944,0.3667826876672412,0.8275521956128656
48101,57,baseline,0.9811732803027989,0.9811732803027989,0.420830143608238,0.0,0.0,0.5603431366945609,0.3406586290793305,0.7614887726875685
48101,58,baseline,0.9977266401260076,0.9977266401260076,0.47694059216858864,0.0,0.0,0.520786047957419,0.37713147965376653,0.8540720718223551
48101,59,baseline,0.7915964655366516,0.7915964655366516,0.34599519246235355,0.0,0.0,0.44560127307429803,0.2893889894729859,0.6353841819353394
48101,60,baseline,0.8369583569984076,0.8369583569984076,0.34151239163955094,0.0,0.0,0.49544596535885665,0.28621533156194684,0.6277277232014977
