seed,method,parameter,estimate,truth,error,moment_max_abs,design_condition
48103,OLS,x,0.27327752921329573,0.4,-0.1267224707867043,1.5915509650928547e-15,3458.5040348725033
48103,OLS,price,-0.5550455463081682,-1.2,0.6449544536918318,1.5915509650928547e-15,3458.5040348725033
48103,IV_2SLS,constant,1.7040578214937698,2.0,-0.29594217850623017,0.005357258314095627,130.07585251032327
48103,IV_2SLS,x,0.3576039118655599,0.4,-0.042396088134440124,0.005357258314095627,130.07585251032327
48103,IV_2SLS,price,-1.095878498888292,-1.2,0.10412150111170804,0.005357258314095627,130.07585251032327
48103,GMM_2step,constant,1.690570129745873,2.0,-0.30942987025412694,0.005709297360872342,130.07585251032327
48103,GMM_2step,x,0.35734350625916284,0.4,-0.04265649374083719,0.005709297360872342,130.07585251032327
48103,GMM_2step,price,-1.0914865339667417,-1.2,0.10851346603325829,0.005709297360872342,130.07585251032327
48103,INVALID_PROXY_IV,constant,0.9914779782183007,2.0,-1.0085220217816993,0.003314975348919333,112.35346836321082
48103,INVALID_PROXY_IV,x,0.3184438088420034,0.4,-0.08155619115799662,0.003314975348919333,112.35346836321082
48103,INVALID_PROXY_IV,price,-0.8447225323278876,-1.2,0.3552774676721123,0.003314975348919333,112.35346836321082
48104,OLS,constant,0.14915700031918924,2.0,-1.8508429996808107,1.8954745180839913e-15,3610.1849094916106
48104,OLS,x,0.27960747971316935,0.4,-0.12039252028683067,1.8954745180839913e-15,3610.1849094916106
48104,OLS,price,-0.550449942274021,-1.2,0.649550057725979,1.8954745180839913e-15,3610.1849094916106
48104,IV_2SLS,constant,1.9694375278000325,2.0,-0.03056247219996755,0.00498636672479858,134.75109185735553
48104,IV_2SLS,x,0.39189951796328,0.4,-0.008100482036720036,0.00498636672479858,134.75109185735553
48104,IV_2SLS,price,-1.1881665852794274,-1.2,0.011833414720572533,0.00498636672479858,134.75109185735553
48104,GMM_2step,constant,1.9589340473364407,2.0,-0.04106595266355928,0.005022678440862659,134.75109185735553
48104,GMM_2step,x,0.3922447828298867,0.4,-0.007755217170113349,0.005022678440862659,134.75109185735553
48104,GMM_2step,price,-1.1845494338088856,-1.2,0.015450566191114401,0.005022678440862659,134.75109185735553
48104,INVALID_PROXY_IV,constant,1.1443067000151368,2.0,-0.8556932999848632,0.0020401698263686416,116.28075691317576
48104,INVALID_PROXY_IV,x,0.3409976810891594,0.4,-0.05900231891084062,0.0020401698263686416,116.28075691317576
48104,INVALID_PROXY_IV,price,-0.8990904491612854,-1.2,0.3009095508387145,0.0020401698263686416,116.28075691317576
48105,OLS,constant,0.020951716485421514,2.0,-1.9790482835145784,5.01450732789029e-16,3668.6208722429737
48105,OLS,x,0.2919729032843883,0.4,-0.10802709671561173,5.01450732789029e-16,3668.6208722429737
48105,OLS,price,-0.5001423912322405,-1.2,0.6998576087677595,5.01450732789029e-16,3668.6208722429737
48105,IV_2SLS,constant,2.138553350136193,2.0,0.13855335013619285,0.0036881990088805006,143.32973140083405
48105,IV_2SLS,x,0.4498446305179422,0.4,0.04984463051794219,0.0036881990088805006,143.32973140083405
48105,IV_2SLS,price,-1.2449840809181352,-1.2,-0.044984080918135216,0.0036881990088805006,143.32973140083405
48105,GMM_2step,constant,2.158838830072027,2.0,0.15883883007202693,0.0033649409348596735,143.32973140083405
48105,GMM_2step,x,0.4519233336867434,0.4,0.0519233336867434,0.0033649409348596735,143.32973140083405
48105,GMM_2step,price,-1.2517974195082586,-1.2,-0.05179741950825867,0.0033649409348596735,143.32973140083405
48105,INVALID_PROXY_IV,constant,1.1499851949715676,2.0,-0.8500148050284324,0.00036047876158691225,120.81867937464119
