seed,scenario,market,root_success,independent_raw_foc_max,finite_difference_profit_gradient_max,independent_solve_price_gap,accepted
48101.0,baseline,116.0,True,3.0531133177191805e-16,0.0,3.326228181776969e-13,True
48101.0,baseline,117.0,True,3.2057689836051395e-15,2.7755575615628914e-11,4.026574629278912e-10,True
48101.0,baseline,118.0,True,7.216449660063518e-16,5.551115123125783e-11,6.128431095930864e-14,True
48101.0,baseline,119.0,True,3.83026943495679e-15,2.7755575615628914e-11,1.5987211554602254e-14,True
48101.0,subsidy,0.0,True,6.938893903907228e-17,1.1102230246251565e-10,7.531752999057062e-13,True
48101.0,subsidy,1.0,True,5.551115123125783e-17,0.0,2.227995565817764e-12,True
48101.0,subsidy,2.0,True,2.498001805406602e-16,2.7755575615628914e-11,3.419486915845482e-14,True
48101.0,subsidy,3.0,True,5.551115123125783e-17,5.551115123125783e-11,0.0,True
48101.0,subsidy,4.0,True,5.551115123125783e-17,5.551115123125783e-11,2.6645352591003757e-15,True
48101.0,subsidy,5.0,True,6.938893903907228e-17,0.0,5.651035195342047e-12,True
48101.0,subsidy,6.0,True,8.881784197001252e-16,2.7755575615628914e-11,1.0613732115416497e-13,True
48101.0,subsidy,7.0,True,1.9845236565174673e-15,2.7755575615628914e-11,4.1300296516055823e-14,True
48101.0,subsidy,8.0,True,5.551115123125783e-17,5.551115123125783e-11,7.72715225139109e-14,True
48101.0,subsidy,9.0,True,1.9984014443252818e-15,5.551115123125783e-11,8.570921750106208e-14,True
48101.0,subsidy,10.0,True,1.1796119636642288e-16,2.7755575615628914e-11,1.1013412404281553e-13,True
48101.0,subsidy,11.0,True,7.632783294297951e-17,5.551115123125783e-11,2.753353101070388e-13,True
48101.0,subsidy,12.0,True,1.457167719820518e-16,2.7755575615628914e-11,2.717825964282383e-13,True
48101.0,subsidy,13.0,True,2.7755575615628914e-17,5.551115123125783e-11,4.440892098500626e-16,True
48101.0,subsidy,14.0,True,8.326672684688674e-17,2.7755575615628914e-11,1.1457501614131615e-13,True
48101.0,subsidy,15.0,True,5.551115123125783e-17,0.0,1.0393907956540716e-11,True
48101.0,subsidy,16.0,True,4.996003610813204e-16,0.0,3.1086244689504383e-15,True
48101.0,subsidy,17.0,True,8.118505867571457e-16,5.551115123125783e-11,1.1432059743299305e-09,True
48101.0,subsidy,18.0,True,1.1102230246251565e-16,2.7755575615628914e-11,8.447571531178255e-10,True
48101.0,subsidy,19.0,True,2.7755575615628914e-17,0.0,6.972200594645983e-14,True
48101.0,subsidy,20.0,True,5.551115123125783e-17,5.551115123125783e-11,5.488498544536924e-12,True
48101.0,subsidy,21.0,True,9.020562075079397e-17,2.7755575615628914e-11,1.1679546219056647e-13,True
48101.0,subsidy,22.0,True,6.938893903907228e-17,2.7755575615628914e-11,1.6697754290362354e-13,True
48101.0,subsidy,23.0,True,2.7755575615628914e-17,5.551115123125783e-11,5.284661597215745e-14,True
48101.0,subsidy,24.0,True,2.7755575615628914e-17,0.0,4.75175454539567e-14,True
48101.0,subsidy,25.0,True,5.551115123125783e-17,5.551115123125783e-11,1.6497914145929826e-12,True
48101.0,subsidy,26.0,True,1.3808398868775384e-15,5.551115123125783e-11,1.1423302304081062e-09,True
48101.0,subsidy,27.0,True,2.7755575615628914e-17,5.551115123125783e-11,3.064215547965432e-14,True
48101.0,subsidy,28.0,True,9.020562075079397e-17,0.0,3.68594044175552e-14,True
48101.0,subsidy,29.0,True,8.326672684688674e-17,5.551115123125783e-11,3.1530333899354446e-14,True
48101.0,subsidy,30.0,True,2.220446049250313e-16,5.551115123125783e-11,3.3210376670922415e-09,True
48101.0,subsidy,31.0,True,6.938893903907228e-18,2.7755575615628914e-11,1.0880185641326534e-13,True
48101.0,subsidy,32.0,True,1.0408340855860843e-16,0.0,2.2648549702353193e-14,True
48101.0,subsidy,33.0,True,5.551115123125783e-17,0.0,1.1688428003253648e-12,True
48101.0,subsidy,34.0,True,5.1486592766991635e-15,2.7755575615628914e-11,1.8811618929248652e-11,True
48101.0,subsidy,35.0,True,1.3183898417423734e-16,5.551115123125783e-11,4.8405723873656825e-14,True
48101.0,subsidy,36.0,True,8.326672684688674e-17,5.551115123125783e-11,4.035882739117369e-11,True
48101.0,subsidy,37.0,True,3.0531133177191805e-16,2.7755575615628914e-11,1.9229062786507711e-13,True
48101.0,subsidy,38.0,True,2.7755575615628914e-17,5.551115123125783e-11,1.0692517982135996e-09,True
48101.0,subsidy,39.0,True,7.632783294297951e-17,0.0,4.044542478709445e-11,True
48101.0,subsidy,40.0,True,3.0253577421035516e-15,5.551115123125783e-11,1.3322676295501878e-14,True
48101.0,subsidy,41.0,True,6.938893903907228e-18,2.7755575615628914e-11,5.639932965095795e-14,True
48101.0,subsidy,42.0,True,7.632783294297951e-17,0.0,1.2612133559741778e-13,True
48101.0,subsidy,43.0,True,5.551115123125783e-17,5.551115123125783e-11,7.593925488436071e-14,True
48101.0,subsidy,44.0,True,1.1102230246251565e-16,5.551115123125783e-11,6.927791673660977e-14,True
48101.0,subsidy,45.0,True,2.7755575615628914e-17,5.551115123125783e-11,3.9124259387790516e-13,True
48101.0,subsidy,46.0,True,5.551115123125783e-17,2.7755575615628914e-11,7.105427357601002e-15,True
48101.0,subsidy,47.0,True,1.1102230246251565e-16,5.551115123125783e-11,3.1309443926375025e-10,True
48101.0,subsidy,48.0,True,0.0,0.0,6.711076139254146e-12,True
48101.0,subsidy,49.0,True,4.440892098500626e-16,5.551115123125783e-11,1.3364420681227784e-11,True
48101.0,subsidy,50.0,True,2.7755575615628914e-17,5.551115123125783e-11,1.7639223415244487e-12,True
48101.0,subsidy,51.0,True,9.506284648352903e-16,5.551115123125783e-11,2.042810365310288e-14,True
48101.0,subsidy,52.0,True,1.1102230246251565e-16,1.1102230246251565e-10,5.338840480817453e-12,True
48101.0,subsidy,53.0,True,2.0816681711721685e-17,5.551115123125783e-11,0.0,True
48101.0,subsidy,54.0,True,5.551115123125783e-17,0.0,5.0679460628089146e-12,True
48101.0,subsidy,55.0,True,2.220446049250313e-16,2.7755575615628914e-11,1.3455903058456897e-13,True
48101.0,subsidy,56.0,True,1.3877787807814457e-17,1.1102230246251565e-10,8.43769498715119e-15,True
48101.0,subsidy,57.0,True,2.0816681711721685e-17,5.551115123125783e-11,1.1871863492274315e-09,True
48101.0,subsidy,58.0,True,8.326672684688674e-16,0.0,1.0170975173195984e-11,True
48101.0,subsidy,59.0,True,2.7755575615628914e-17,2.7755575615628914e-11,7.549516567451064e-15,True
48101.0,subsidy,60.0,True,8.604228440844963e-16,2.7755575615628914e-11,2.1760371282653068e-14,True
48101.0,subsidy,61.0,True,1.3877787807814457e-17,0.0,8.881784197001252e-16,True
48101.0,subsidy,62.0,True,1.1102230246251565e-16,2.7755575615628914e-11,3.3720581882334955e-11,True
48101.0,subsidy,63.0,True,6.938893903907228e-18,5.551115123125783e-11,4.440892098500626e-16,True
48101.0,subsidy,64.0,True,6.245004513516506e-17,5.551115123125783e-11,4.263256414560601e-14,True
48101.0,subsidy,65.0,True,1.3183898417423734e-16,5.551115123125783e-11,7.016609515630989e-14,True
48101.0,subsidy,66.0,True,5.551115123125783e-17,0.0,1.865174681370263e-13,True
48101.0,subsidy,67.0,True,2.7755575615628914e-17,5.551115123125783e-11,3.788969138440734e-12,True
48101.0,subsidy,68.0,True,2.3800406090401793e-15,5.551115123125783e-11,3.348432642269472e-11,True
48101.0,subsidy,69.0,True,2.581268532253489e-15,2.7755575615628914e-11,1.2878587085651816e-14,True
48101.0,subsidy,70.0,True,1.3183898417423734e-16,2.7755575615628914e-11,7.675149404917647e-11,True
48101.0,subsidy,71.0,True,1.942890293094024e-16,5.551115123125783e-11,2.155386980007279e-11,True
48101.0,subsidy,72.0,True,2.7755575615628914e-17,5.551115123125783e-11,4.440892098500626e-15,True
48101.0,subsidy,73.0,True,6.938893903907228e-18,2.7755575615628914e-11,4.440892098500626e-16,True
48101.0,subsidy,74.0,True,5.551115123125783e-17,2.7755575615628914e-11,1.9095836023552692e-14,True
48101.0,subsidy,75.0,True,1.8735013540549517e-16,2.7755575615628914e-11,1.8751191710464354e-09,True
48101.0,subsidy,76.0,True,6.245004513516506e-17,2.7755575615628914e-11,2.637889906509372e-13,True
48101.0,subsidy,77.0,True,2.7755575615628914e-17,5.551115123125783e-11,2.6201263381153694e-14,True
48101.0,subsidy,78.0,True,1.1102230246251565e-16,0.0,1.5987211554602254e-14,True
48101.0,subsidy,79.0,True,5.551115123125783e-17,2.7755575615628914e-11,2.042810365310288e-14,True
48101.0,subsidy,80.0,True,1.1102230246251565e-16,0.0,1.0150547069542881e-11,True
48101.0,subsidy,81.0,True,4.163336342344337e-17,5.551115123125783e-11,1.1950440637065185e-12,True
48101.0,subsidy,82.0,True,4.163336342344337e-17,0.0,4.574118861455645e-14,True
48101.0,subsidy,83.0,True,1.3877787807814457e-17,5.551115123125783e-11,2.4869004633387704e-09,True
48101.0,subsidy,84.0,True,2.7755575615628914e-17,5.551115123125783e-11,3.0020430585864233e-13,True
48101.0,subsidy,85.0,True,5.551115123125783e-17,5.551115123125783e-11,8.628653347386717e-13,True
48101.0,subsidy,86.0,True,5.342948306008566e-16,5.551115123125783e-11,7.682743330406083e-14,True
48101.0,subsidy,87.0,True,3.3306690738754696e-16,2.7755575615628914e-11,1.7763568394002505e-15,True
48101.0,subsidy,88.0,True,1.3183898417423734e-16,2.7755575615628914e-11,2.887468042445107e-12,True
48101.0,subsidy,89.0,True,4.163336342344337e-17,0.0,2.3092638912203256e-14,True
48101.0,subsidy,90.0,True,2.7755575615628914e-17,2.7755575615628914e-11,0.0,True
48101.0,subsidy,91.0,True,4.510281037539698e-16,0.0,8.08242361927114e-14,True
48101.0,subsidy,92.0,True,6.161737786669619e-15,2.7755575615628914e-11,6.88338275267597e-14,True
48101.0,subsidy,93.0,True,6.938893903907228e-18,2.7755575615628914e-11,7.993605777301127e-14,True
48101.0,subsidy,94.0,True,6.938893903907228e-17,2.7755575615628914e-11,1.5054624213917123e-13,True
48101.0,subsidy,95.0,True,2.220446049250313e-16,2.7755575615628914e-11,1.330469068250295e-10,True
48101.0,subsidy,96.0,True,5.551115123125783e-16,5.551115123125783e-11,3.9257486150745535e-13,True
48101.0,subsidy,97.0,True,5.551115123125783e-17,5.551115123125783e-11,1.7763568394002505e-14,True
48101.0,subsidy,98.0,True,5.551115123125783e-17,8.326672684688674e-11,8.038014698286133e-14,True
48101.0,subsidy,99.0,True,3.2335245592207684e-15,5.551115123125783e-11,1.5054624213917123e-13,True
48101.0,subsidy,100.0,True,6.938893903907228e-18,2.7755575615628914e-11,9.096128295027484e-10,True
48101.0,subsidy,101.0,True,5.551115123125783e-17,0.0,2.001154797426352e-11,True
48101.0,subsidy,102.0,True,1.3877787807814457e-16,0.0,2.722266856380884e-13,True
48101.0,subsidy,103.0,True,6.245004513516506e-17,5.551115123125783e-11,3.774758283725532e-14,True
48101.0,subsidy,104.0,True,5.551115123125783e-17,2.7755575615628914e-11,7.2515327076416725e-12,True
48101.0,subsidy,105.0,True,5.551115123125783e-17,5.551115123125783e-11,1.1812772982011666e-13,True
48101.0,subsidy,106.0,True,5.551115123125783e-17,0.0,6.705747068735946e-14,True
48101.0,subsidy,107.0,True,2.0816681711721685e-17,0.0,1.9606538614880265e-12,True
48101.0,subsidy,108.0,True,2.498001805406602e-16,0.0,8.2291506942056e-11,True
48101.0,subsidy,109.0,True,2.7755575615628914e-17,2.7755575615628914e-11,6.964810950194078e-10,True
48101.0,subsidy,110.0,True,5.551115123125783e-17,5.551115123125783e-11,2.3092638912203256e-14,True
48101.0,subsidy,111.0,True,8.257283745649602e-16,2.7755575615628914e-11,7.283063041541027e-14,True
48101.0,subsidy,112.0,True,2.1649348980190553e-15,2.7755575615628914e-11,3.952393967665557e-14,True
48101.0,subsidy,113.0,True,6.938893903907228e-17,5.551115123125783e-11,2.2382096176443156e-13,True
48101.0,subsidy,114.0,True,1.1102230246251565e-16,0.0,7.884803920887862e-12,True
48101.0,subsidy,115.0,True,1.8041124150158794e-16,2.7755575615628914e-11,5.564437799421285e-13,True
48101.0,subsidy,116.0,True,2.3314683517128287e-15,2.7755575615628914e-11,2.1316282072803006e-13,True
48101.0,subsidy,117.0,True,7.632783294297951e-17,5.551115123125783e-11,6.828515530798995e-09,True
48101.0,subsidy,118.0,True,6.245004513516506e-17,2.7755575615628914e-11,8.013665286910054e-10,True
48101.0,subsidy,119.0,True,5.551115123125783e-17,0.0,3.8768988019910466e-13,True
48102.0,baseline,0.0,True,9.367506770274758e-16,2.7755575615628914e-11,8.260059303211165e-14,True
48102.0,baseline,1.0,True,2.7755575615628914e-17,5.551115123125783e-11,1.293671836322119e-10,True
48102.0,baseline,2.0,True,4.5102810375396984e-17,2.7755575615628914e-11,3.5921932095561715e-11,True
48102.0,baseline,3.0,True,2.7755575615628914e-17,0.0,7.86926079854311e-13,True
48102.0,baseline,4.0,True,8.43769498715119e-15,2.7755575615628914e-11,6.52811138479592e-14,True
48102.0,baseline,5.0,True,1.942890293094024e-16,2.7755575615628914e-11,5.551115123125783e-14,True
48102.0,baseline,6.0,True,8.326672684688674e-17,0.0,1.3908874052503961e-12,True
48102.0,baseline,7.0,True,2.0816681711721685e-17,2.7755575615628914e-11,5.153002469171497e-10,True
48102.0,baseline,8.0,True,9.020562075079397e-17,5.551115123125783e-11,6.397806728841715e-10,True
48102.0,baseline,9.0,True,6.175615574477433e-16,2.7755575615628914e-11,1.0654588322722702e-11,True
48102.0,baseline,10.0,True,3.0531133177191805e-15,0.0,7.238654120556021e-14,True
48102.0,baseline,11.0,True,3.191891195797325e-16,2.7755575615628914e-11,2.972067036921544e-10,True
48102.0,baseline,12.0,True,4.163336342344337e-17,2.7755575615628914e-11,1.425526363618701e-13,True
48102.0,baseline,13.0,True,4.440892098500626e-16,2.7755575615628914e-11,9.059419880941277e-14,True
48102.0,baseline,14.0,True,5.551115123125783e-17,5.551115123125783e-11,1.3581669122686435e-10,True
48102.0,baseline,15.0,True,8.326672684688674e-17,5.551115123125783e-11,2.3936408410918375e-13,True
48102.0,baseline,16.0,True,7.632783294297951e-17,2.7755575615628914e-11,1.2745360322696797e-13,True
48102.0,baseline,17.0,True,1.1657341758564144e-15,2.7755575615628914e-11,5.329070518200751e-15,True
48102.0,baseline,18.0,True,1.6653345369377348e-16,2.7755575615628914e-11,1.0675904604795505e-11,True
48102.0,baseline,19.0,True,9.71445146547012e-17,5.551115123125783e-11,5.915268275202834e-13,True
48102.0,baseline,20.0,True,2.220446049250313e-16,2.7755575615628914e-11,6.661338147750939e-15,True
48102.0,baseline,21.0,True,5.80785419757035e-15,8.326672684688674e-11,3.907985046680551e-14,True
48102.0,baseline,22.0,True,2.1510571102112408e-16,2.7755575615628914e-11,1.425526363618701e-13,True
48102.0,baseline,23.0,True,6.661338147750939e-16,5.551115123125783e-11,1.2970069462880929e-11,True
48102.0,baseline,24.0,True,4.163336342344337e-16,5.551115123125783e-11,2.0203616557523674e-10,True
48102.0,baseline,25.0,True,2.518818487118324e-15,2.7755575615628914e-11,4.645173135031655e-13,True
48102.0,baseline,26.0,True,8.139322549283179e-15,2.7755575615628914e-11,1.378353431391588e-09,True
48102.0,baseline,27.0,True,3.0253577421035516e-15,5.551115123125783e-11,1.3322676295501878e-14,True
48102.0,baseline,28.0,True,2.498001805406602e-16,5.551115123125783e-11,1.9317880628477724e-13,True
48102.0,baseline,29.0,True,1.4016565685892601e-15,0.0,2.531308496145357e-14,True
48102.0,baseline,30.0,True,1.5404344466674047e-15,2.7755575615628914e-11,3.1697533486862994e-10,True
48102.0,baseline,31.0,True,2.7755575615628914e-17,0.0,1.3319878533479823e-10,True
48102.0,baseline,32.0,True,7.320533068622126e-15,0.0,3.6415315207705135e-14,True
48102.0,baseline,33.0,True,4.996003610813204e-16,2.7755575615628914e-11,2.779998453661392e-13,True
