seed,market,scenario,root_id,p1,p2
48101,49,subsidy,0,2.980789431844821,2.8252034158345882
48101,50,subsidy,0,2.582976650774435,2.616988235941045
48101,51,subsidy,0,2.8291258847964658,3.0711549160374902
48101,52,subsidy,0,2.783364101762093,2.528073122457366
48101,53,subsidy,0,2.8251008708035714,2.677026447169983
48101,54,subsidy,0,2.7183996989633954,2.818428489071216
48101,55,subsidy,0,2.6095798528066054,2.8923145541475876
48101,56,subsidy,0,3.0207865169386756,2.5106359070698026
48101,57,subsidy,0,2.7929643240158097,2.7967471160423365
48101,58,subsidy,0,2.7208121899883744,2.5013140272895433
48101,59,subsidy,0,2.5449485553136015,2.5761862301943137
48101,60,subsidy,0,2.7545517437490616,2.7279820843216123
48101,61,subsidy,0,2.762379793558672,2.9689921035916296
48101,62,subsidy,0,3.0015268558546015,2.684002569133875
48101,63,subsidy,0,2.7986452059606424,2.5328898054645967
48101,64,subsidy,0,2.789612821951687,2.341197833317781
48101,65,subsidy,0,2.6206476632652165,2.9840915591303885
48101,66,subsidy,0,2.7143557079505842,2.686164807609233
48101,67,subsidy,0,3.043474244530345,2.781345188852067
48101,68,subsidy,0,3.0557839409380594,2.4433091823491284
48101,69,subsidy,0,2.718365333440799,2.871362288702413
48101,70,subsidy,0,2.803728460578104,2.7114100085008013
48101,71,subsidy,0,2.7432631182398657,2.5441515133571686
48101,72,subsidy,0,2.5887321479521117,2.4315964573069517
48101,73,subsidy,0,2.8585034341476865,2.547808620766661
48101,74,subsidy,0,2.5963052020453516,2.4510381804031147
48101,75,subsidy,0,3.0134456289558957,2.5966434206546385
48101,76,subsidy,0,2.626994894686397,2.854007757740389
48101,77,subsidy,0,2.4452113959123376,2.6980782945903465
48101,78,subsidy,0,2.3028754983392927,2.8183040251353337
48101,79,subsidy,0,2.3220093801198756,2.8699896448158744
48101,80,subsidy,0,2.895316870835275,2.704143387778379
48101,81,subsidy,0,2.7283307351858417,2.6497569651748294
48101,82,subsidy,0,2.829933728434214,2.6451707791421737
48101,83,subsidy,0,2.751758050135413,2.5608641360435014
48101,84,subsidy,0,2.5564472440436066,2.902579144984942
48101,85,subsidy,0,2.9108391303691254,2.790776991984682
48101,86,subsidy,0,2.5327180149531094,2.9500218333766832
48101,87,subsidy,0,2.708355440184144,2.654043675142155
48101,88,subsidy,0,2.757489914092327,2.4797091915934675
48101,89,subsidy,0,2.8157959541937463,2.7247632537695603
48101,90,subsidy,0,2.6431798127790698,2.666772824473438
48101,91,subsidy,0,2.5906352826206502,2.926805111155351
48101,92,subsidy,0,2.981385814667455,2.8302497750948024
48101,93,subsidy,0,2.724738580294506,2.687658309070156
48101,94,subsidy,0,2.7892316013702088,2.6471014122805085
48101,95,subsidy,0,2.62616051440125,2.8386547610554405
48101,96,subsidy,0,2.723682691391593,2.7259544821117245
48101,97,subsidy,0,2.854628464204288,2.4744503836188607
48101,98,subsidy,0,2.7793739879245747,2.545613442647167
48101,99,subsidy,0,2.8038712483935435,2.8763912946139354
48101,100,subsidy,0,2.755999792086579,2.5210639879844776
48101,101,subsidy,0,2.7841419741775493,2.5944784237107594
48101,102,subsidy,0,2.69201893419074,2.530284195404122
48101,103,subsidy,0,2.7324165430656024,2.609387247447662
48101,104,subsidy,0,2.6542116231573702,2.6993365121704858
48101,105,subsidy,0,2.5448413297404637,2.7201330223005917
48101,106,subsidy,0,2.6573261672635775,2.602832659137579
48101,107,subsidy,0,2.693038903887049,2.9479567906702866
48101,108,subsidy,0,2.7096883023319784,2.6129811236781024
48101,109,subsidy,0,2.444782836960167,2.689742219084948
48101,110,subsidy,0,2.785648026165511,2.5391100372359685
48101,111,subsidy,0,2.7975530702854763,2.7128496983979624
48101,112,subsidy,0,2.8609346430830627,2.894217730772622
48101,113,subsidy,0,2.5503046487250365,2.820781120070393
48101,114,subsidy,0,3.024476998528613,2.6499627598859776
48101,115,subsidy,0,2.6000086355575007,2.6901357953409377
48101,116,subsidy,0,2.537953773411136,3.12688564529231
48101,117,subsidy,0,2.8676893496829043,2.624421436797584
48101,118,subsidy,0,2.518855902368814,2.7140473399944423
48101,119,subsidy,0,2.797091660415803,2.804525486154686
48102,0,baseline,0,3.0726040081387582,2.857433564135628
48102,1,baseline,0,2.3673397672782426,2.9591173675729605
48102,2,baseline,0,2.8160275737721703,2.421436788387685
48102,3,baseline,0,2.8231676011573708,2.7991115717136887
48102,4,baseline,0,2.9332767741669428,2.8407499095647344
48102,5,baseline,0,2.793622776911293,2.590668556114209
48102,6,baseline,0,2.9093648877583713,2.8330648478905736
48102,7,baseline,0,2.6816638462653866,2.914272031709526
48102,8,baseline,0,2.7989698565072962,2.7607771051992196
48102,9,baseline,0,3.2719506869581054,2.7498536000020364
48102,10,baseline,0,2.8777182291052905,2.768496426087767
48102,11,baseline,0,2.9157658433917115,2.81827871795048
48102,12,baseline,0,2.8450427059021948,2.4429662944336386
48102,13,baseline,0,2.9151922759090265,2.6102074728125064
48102,14,baseline,0,2.372009118459,2.835267787364502
48102,15,baseline,0,2.937980267195489,2.9793612671991
48102,16,baseline,0,2.7259123367796634,2.668082797705334
48102,17,baseline,0,2.821613892190646,2.65947168391792
48102,18,baseline,0,3.0314042260666727,2.4409738863241097
48102,19,baseline,0,2.770426504512151,3.0386028606308826
48102,20,baseline,0,2.6107836844754058,2.744155659273563
48102,21,baseline,0,2.9893352955590395,2.751355435001619
48102,22,baseline,0,2.7538250318348747,2.749758822764107
48102,23,baseline,0,2.9370865113167133,2.889606927927922
48102,24,baseline,0,2.9928875561975703,2.7241234594859387
48102,25,baseline,0,2.7964929163005867,2.919487405386452
48102,26,baseline,0,2.9375190658107018,2.8849384531839775
48102,27,baseline,0,2.850949605072076,2.905319626101841
48102,28,baseline,0,2.6216314403284775,2.7730228267483734
48102,29,baseline,0,3.105469629793255,2.7504709513946097
48102,30,baseline,0,2.6177155111935004,2.887943075590175
48102,31,baseline,0,2.695921156941272,2.715196078641148
48102,32,baseline,0,2.9886773105119793,3.0103372375398467
48102,33,baseline,0,3.0655858713761277,2.9397428252584294
48102,34,baseline,0,2.8311711659907135,2.555224708736787
48102,35,baseline,0,2.7036194757435728,2.587937373557962
48102,36,baseline,0,2.9700443574048023,2.7544299136477446
48102,37,baseline,0,2.650464201448251,2.7927404525319566
48102,38,baseline,0,2.680649955455687,2.61281002643306
48102,39,baseline,0,2.789231973033292,2.642595560092698
48102,40,baseline,0,2.599070112949606,2.8147778975231303
48102,41,baseline,0,3.036230946779989,3.2077556054687113
48102,42,baseline,0,2.7949400131671176,2.536155365076273
48102,43,baseline,0,2.5885032846239016,2.816664628430931
48102,44,baseline,0,2.8020499512347445,3.2020444221592457
48102,45,baseline,0,2.858823965072408,2.9355580936173356
48102,46,baseline,0,2.677413784843901,3.2091809446117705
48102,47,baseline,0,2.8477850296709124,2.707605995732267
48102,48,baseline,0,2.800031862138256,2.9172981045267696
48102,49,baseline,0,2.76665449378905,3.0954564340437805
48102,50,baseline,0,2.922768197155531,2.5450544404749476
